Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
Clinicians,should determine,if nonadherence to treatment for bipolar I disorder occurred before or after the recurrence of episodes.,Clinicians,should determine,if nonadherence to treatment for bipolar I disorder occurred before or after the recurrence of episodes.,Clinicians should determine if nonadherence to treatment for bipolar I disorder occurred before or after the recurrence of episodes.,145
Clinicians,should explore reasons for,nonadherence to treatment for bipolar I disorder.,Clinicians,should explore reasons for,nonadherence to treatment for bipolar I disorder.,Clinicians should explore reasons for nonadherence to treatment for bipolar I disorder.,146
A change in mood stabilizer type or dosing,may be necessary,if nonadherence to treatment for bipolar I disorder is an issue.,A change in mood stabilizer type or dosing,may be necessary,if nonadherence to treatment for bipolar I disorder is an issue.,A change in mood stabilizer type or dosing may be necessary if nonadherence to treatment for bipolar I disorder is an issue.,147
Lithium,reduces,the severity of bipolar mood swings.,Lithium,reduces,the severity of bipolar mood swings.,Lithium reduces the severity of bipolar mood swings.,148
Lithium,does not impact,normal mood.,Lithium,does not impact,normal mood.,Lithium does not impact normal mood.,149
Patients with a family history of typical bipolar disorders,have,a higher response rate to lithium.,Patients with a family history of typical bipolar disorders,have,a higher response rate to lithium.,Patients with a family history of typical bipolar disorders have a higher response rate to lithium.,150
Breakthroughs in mood stabilization,are more likely,with patients experiencing mixed states.,Breakthroughs in mood stabilization,are more likely,with patients experiencing mixed states.,Breakthroughs in mood stabilization are more likely with patients experiencing mixed states.,151
Patients with rapid-cycling forms of bipolar disorder,are more prone,to breakthroughs.,Patients with rapid-cycling forms of bipolar disorder,are more prone,to breakthroughs.,Patients with rapid-cycling forms of bipolar disorder are more prone to breakthroughs.,152
Rapid-cycling bipolar disorder,is typically defined as,four or more episodes per year.,Rapid-cycling bipolar disorder,is typically defined as,four or more episodes per year.,Rapid-cycling bipolar disorder is typically defined as four or more episodes per year.,153
Comorbid anxiety,increases the likelihood of,breakthroughs in mood stabilization treatment.,Comorbid anxiety,increases the likelihood of,breakthroughs in mood stabilization treatment.,Comorbid anxiety increases the likelihood of breakthroughs in mood stabilization treatment.,154
Substance use disorder,is associated with,a higher likelihood of breakthroughs in mood stabilization.,Substance use disorder,is associated with,a higher likelihood of breakthroughs in mood stabilization.,Substance use disorder is associated with a higher likelihood of breakthroughs in mood stabilization.,155
The presence of a neurologic disorder,can lead to,"more frequent breakthroughs in mood stabilization, regardless of the medication used.",The presence of a neurologic disorder,can lead to,"more frequent breakthroughs in mood stabilization, regardless of the medication used.","The presence of a neurologic disorder can lead to more frequent breakthroughs in mood stabilization, regardless of the medication used.",156
Lithium carbonate dosage,is adjusted according to,"blood levels, tolerance, and response.",Lithium carbonate dosage,is adjusted according to,"blood levels, tolerance, and response.","Lithium carbonate dosage is adjusted according to blood levels, tolerance, and response.",157
Higher maintenance levels of lithium carbonate,offer,more protection against manic episodes.,Higher maintenance levels of lithium carbonate,offer,more protection against manic episodes.,Higher maintenance levels of lithium carbonate offer more protection against manic episodes.,158
Higher maintenance levels of lithium carbonate,do not protect against,depressive episodes.,Higher maintenance levels of lithium carbonate,do not protect against,depressive episodes.,Higher maintenance levels of lithium carbonate do not protect against depressive episodes.,159
Higher maintenance levels of lithium carbonate,are associated with,more adverse effects.,Higher maintenance levels of lithium carbonate,are associated with,more adverse effects.,Higher maintenance levels of lithium carbonate are associated with more adverse effects.,160
Adolescents,require,higher doses of lithium carbonate due to excellent glomerular function.,Adolescents,require,higher doses of lithium carbonate due to excellent glomerular function.,Adolescents require higher doses of lithium carbonate due to excellent glomerular function.,161
Older patients,require,lower doses of lithium carbonate.,Older patients,require,lower doses of lithium carbonate.,Older patients require lower doses of lithium carbonate.,162
Lithium,may cause,sedation and cognitive impairment.,Lithium,may cause,sedation and cognitive impairment.,Lithium may cause sedation and cognitive impairment.,163
Lithium,can induce,"hypothyroidism, which may lead to sedation and cognitive impairment.",Lithium,can induce,"hypothyroidism, which may lead to sedation and cognitive impairment.","Lithium can induce hypothyroidism, which may lead to sedation and cognitive impairment.",164
Lithium,often exacerbates,acne and psoriasis.,Lithium,often exacerbates,acne and psoriasis.,Lithium often exacerbates acne and psoriasis.,165
"Common acute, mild adverse effects of Lithium",include,"fine tremor, fasciculation, nausea, diarrhea, polyuria, polydipsia, and weight gain.","Common acute, mild adverse effects of Lithium",include,"fine tremor, fasciculation, nausea, diarrhea, polyuria, polydipsia, and weight gain.","Common acute, mild adverse effects of Lithium include fine tremor, fasciculation, nausea, diarrhea, polyuria, polydipsia, and weight gain.",166
Weight gain from Lithium,is partly due to,consuming high-calorie beverages.,Weight gain from Lithium,is partly due to,consuming high-calorie beverages.,Weight gain from Lithium is partly due to consuming high-calorie beverages.,167
Adverse effects of Lithium,are,usually transient.,Adverse effects of Lithium,are,usually transient.,Adverse effects of Lithium are usually transient.,168
Adverse effects of Lithium,often respond to,a decreased dose.,Adverse effects of Lithium,often respond to,a decreased dose.,Adverse effects of Lithium often respond to a decreased dose.,169
Dividing the Lithium dose,can mitigate,adverse effects.,Dividing the Lithium dose,can mitigate,adverse effects.,Dividing the Lithium dose can mitigate adverse effects.,170
Using slow-release forms of Lithium,can reduce,adverse effects.,Using slow-release forms of Lithium,can reduce,adverse effects.,Using slow-release forms of Lithium can reduce adverse effects.,171
The entire dose,should be given,after the evening meal once the Lithium dosage is established.,The entire dose,should be given,after the evening meal once the Lithium dosage is established.,The entire dose should be given after the evening meal once the Lithium dosage is established.,172
